Timestamp,language,problem
2026-04-10T19:22:10.332792,Python,Type issues everywhere
2026-04-10T19:17:10.332792,C,Why is this so slow?
2026-04-10T19:12:10.332792,Python,Why is Python so magical?
2026-04-10T19:07:10.332792,C,Unexpected output
2026-04-10T19:02:10.332792,Python,Segmentation fault again 😭
2026-04-10T18:57:10.332792,Python,This is too easy... suspiciously easy
2026-04-10T18:52:10.332792,C,Infinite loop help!
2026-04-10T18:47:10.332792,C,I don't understand recursion
2026-04-10T18:42:10.332792,C,Why is this variable undefined?
2026-04-10T18:37:10.332792,Scratch,
2026-04-10T18:32:10.332792,Scratch,Debugging takes forever
2026-04-10T18:27:10.332792,Scratch,I forgot a semicolon again
2026-04-10T18:22:10.332792,Scratch,Why is indentation breaking everything?
2026-04-10T18:17:10.332792,C,Why does this even work?
2026-04-10T18:12:10.332792,Python,My code works... sometimes
2026-04-10T18:07:10.332792,Python,Pointer confusion is real
2026-04-10T18:02:10.332792,Python,Why does this even work?
2026-04-10T17:57:10.332792,Scratch,Compiler yelling at me
2026-04-10T17:52:10.332792,Python,Why does this even work?
2026-04-10T17:47:10.332792,Scratch,Syntax error but where?
2026-04-10T17:42:10.332792,C,Syntax error but where?
2026-04-10T17:37:10.332792,C,Syntax error but where?
2026-04-10T17:32:10.332792,Scratch,This is too easy... suspiciously easy
2026-04-10T17:27:10.332792,Python,This worked yesterday...
2026-04-10T17:22:10.332792,Scratch,My code works... sometimes
2026-04-10T17:17:10.332792,C,This is too easy... suspiciously easy
2026-04-10T17:12:10.332792,C,I forgot a semicolon again
2026-04-10T17:07:10.332792,Scratch,Pointer confusion is real
2026-04-10T17:02:10.332792,Scratch,Why is Python so magical?
2026-04-10T16:57:10.332792,Scratch,This worked yesterday...
2026-04-10T16:52:10.332792,Scratch,My code works... sometimes
2026-04-10T16:47:10.332792,Scratch,Pointer confusion is real
2026-04-10T16:42:10.332792,Scratch,I forgot a semicolon again
2026-04-10T16:37:10.332792,Scratch,Scratch blocks not snapping correctly
2026-04-10T16:32:10.332792,C,This is too easy... suspiciously easy
2026-04-10T16:27:10.332792,Scratch,Scratch blocks not snapping correctly
2026-04-10T16:22:10.332792,C,Debugging takes forever
2026-04-10T16:17:10.332792,C,Why is indentation breaking everything?
2026-04-10T16:12:10.332792,C,
2026-04-10T16:07:10.332792,Scratch,Unexpected output
2026-04-10T16:02:10.332792,Scratch,Syntax error but where?
2026-04-10T15:57:10.332792,Python,Unexpected output
2026-04-10T15:52:10.332792,C,This worked yesterday...
2026-04-10T15:47:10.332792,Scratch,I don't understand recursion
2026-04-10T15:42:10.332792,Scratch,Infinite loop help!
2026-04-10T15:37:10.332792,C,
2026-04-10T15:32:10.332792,C,This worked yesterday...
2026-04-10T15:27:10.332792,Scratch,Why is this variable undefined?
2026-04-10T15:22:10.332792,Python,Why is this variable undefined?
2026-04-10T15:17:10.332792,Scratch,Segmentation fault again 😭
